K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_186,Arkansas,AR,02,02-Hempstead (AR),-93.648306,33.769511,cluster_2,1e-5
2,Quercus_187,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_1,0.033888
2,Quercus_187,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_2,0.966112
2,Quercus_189,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_1,1e-5
2,Quercus_189,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_2,0.99999
2,Quercus_190,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_1,1e-5
2,Quercus_190,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_2,0.99999
2,Quercus_194,Arkansas,AR,02,02-Hempstead (AR),-93.648149,33.769443,cluster_1,0.99999
2,Quercus_194,Arkansas,AR,02,02-Hempstead (AR),-93.648149,33.769443,cluster_2,1e-5
2,Quercus_196,Louisiana,LA,05,05-Union (AR/LA),-92.3632,32.89236,cluster_1,0.99999
2,Quercus_196,Louisiana,LA,05,05-Union (AR/LA),-92.3632,32.89236,cluster_2,1e-5
2,Quercus_198,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_1,0.99999
2,Quercus_198,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_2,1e-5
2,Quercus_199,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89223,cluster_1,1e-5
2,Quercus_199,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89223,cluster_2,0.99999
2,Quercus_200,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_1,1e-5
2,Quercus_200,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_2,0.99999
2,Quercus_203,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_1,1e-5
2,Quercus_203,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_2,0.99999
2,Quercus_207,Louisiana,LA,05,05-Union (AR/LA),-92.36327,32.89234,cluster_1,0.826136
2,Quercus_207,Louisiana,LA,05,05-Union (AR/LA),-92.36327,32.89234,cluster_2,0.173864
2,Quercus_211,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.11569,33.68607,cluster_1,1e-5
2,Quercus_211,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.11569,33.68607,cluster_2,0.99999
2,Quercus_219,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_1,0.048302
2,Quercus_219,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_2,0.951698
2,Quercus_220,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_1,1e-5
2,Quercus_220,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_2,0.99999
2,Quercus_222,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_1,0.99999
2,Quercus_222,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_2,1e-5
2,Quercus_223,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_1,1e-5
2,Quercus_223,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_2,0.99999
2,Quercus_227,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_1,0.094667
2,Quercus_227,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.084421,33.708172,cluster_2,0.905333
2,Quercus_231,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_1,1e-5
2,Quercus_231,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_2,0.99999
2,Quercus_238,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_1,0.99999
2,Quercus_238,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_2,1e-5
2,Quercus_239,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_1,0.041895
2,Quercus_239,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_2,0.958105
2,Quercus_243,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.66,cluster_1,1e-5
2,Quercus_243,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.66,cluster_2,0.99999
2,Quercus_244,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.08,33.71,cluster_1,0.045246
2,Quercus_244,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.08,33.71,cluster_2,0.954754
2,Quercus_245,Louisiana,LA,05,05-Union (AR/LA),-92.37,32.89,cluster_1,0.069931
2,Quercus_245,Louisiana,LA,05,05-Union (AR/LA),-92.37,32.89,cluster_2,0.930069
2,Quercus_246,Louisiana,LA,01,01-Caddo (LA),-94.02,32.99,cluster_1,0.944077
2,Quercus_246,Louisiana,LA,01,01-Caddo (LA),-94.02,32.99,cluster_2,0.055923
2,Quercus_247,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_1,0.99999
2,Quercus_247,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_2,1e-5
2,Quercus_248,Louisiana,LA,05,05-Union (AR/LA),-92.51,32.88,cluster_1,0.132573
2,Quercus_248,Louisiana,LA,05,05-Union (AR/LA),-92.51,32.88,cluster_2,0.867427
2,Quercus_249,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_1,0.886942
2,Quercus_249,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_2,0.113058
2,Quercus_250,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.66,cluster_1,0.04985
2,Quercus_250,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.66,cluster_2,0.95015
2,Quercus_251,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93,33.71,cluster_1,0.162616
2,Quercus_251,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93,33.71,cluster_2,0.837384
2,Quercus_252,Louisiana,LA,03,03-Webster (LA),-93.46,32.88,cluster_1,0.204895
2,Quercus_252,Louisiana,LA,03,03-Webster (LA),-93.46,32.88,cluster_2,0.795105
2,Quercus_253,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.12,33.69,cluster_1,0.063052
2,Quercus_253,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.12,33.69,cluster_2,0.936948
2,Quercus_254,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_1,0.385519
2,Quercus_254,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_2,0.614481
2,Quercus_255,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_1,0.41523
2,Quercus_255,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_2,0.58477
2,Quercus_256,Mississippi,MS,06,06-Covington (MS),-89.56,31.64,cluster_1,0.99999
2,Quercus_256,Mississippi,MS,06,06-Covington (MS),-89.56,31.64,cluster_2,1e-5
