FID,Sample_Name,PID,MID,Sex,Phenotype,admixture_row,State,state_abbr,index,index_new_county_state,Latitude,Longitude,County,Species,Accession,Planting_Number
0,Quercus_302,0,0,0,-9,163,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_303,0,0,0,-9,164,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
0,Quercus_304,0,0,0,-9,165,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_305,0,0,0,-9,166,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_306,0,0,0,-9,167,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_307,0,0,0,-9,168,Alabama,AL,10,10-Pike (AL),31.79,-85.89,Pike,Quercus arkansana,NA,NA
0,Quercus_308,0,0,0,-9,169,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_309,0,0,0,-9,170,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_310,0,0,0,-9,171,Georgia,GA,13,13-Screven (GA),32.66,-81.79,Screven,Quercus arkansana,NA,NA
0,Quercus_311,0,0,0,-9,172,Alabama,AL,08,08-Tuscaloosa (AL),33.05,-87.5,Tuscaloosa,Quercus arkansana,NA,NA
0,Quercus_312,0,0,0,-9,173,Georgia,GA,11,11-Early (GA),31.47,-84.95,Early,Quercus arkansana,NA,NA
0,Quercus_313,0,0,0,-9,174,Florida,FL,09,09-Okaloosa (FL),30.54,-86.4,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_314,0,0,0,-9,175,Alabama,AL,07,07-Sumter (AL),32.51,-88.03,Sumter,Quercus arkansana,NA,NA
0,Quercus_315,0,0,0,-9,176,Alabama,AL,07,07-Sumter (AL),32.51,-88.03,Sumter,Quercus arkansana,NA,NA
0,Quercus_316,0,0,0,-9,177,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_317,0,0,0,-9,178,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_318,0,0,0,-9,179,Florida,FL,09,09-Okaloosa (FL),30.59,-86.47,Okaloosa,Quercus arkansana,NA,NA
0,Quercus_319,0,0,0,-9,180,Florida,FL,09,09-Okaloosa (FL),30.55,-86.49,Okaloosa,Quercus arkansana,NA,NA
