"sample","called_genotypes","missing_genotypes","missing_rate","heterozygote_genotypes","heterozygote_rate","mean_dp","median_dp","mean_gq"
"Quercus_296",441,1,0.00226244343891403,76,0.171945701357466,474.665158371041,445.5,98.7760180995475
"Quercus_297",439,3,0.00678733031674208,67,0.15158371040724,440.377828054299,407.5,98.3280542986425
"Quercus_298",442,0,0,65,0.147058823529412,566.929864253394,502,98.8868778280543
"Quercus_299",442,0,0,67,0.15158371040724,543.002262443439,510,98.8506787330317
"Quercus_300",435,7,0.0158371040723982,73,0.165158371040724,332.690045248869,304.5,96.7217194570136
"Quercus_301",442,0,0,65,0.147058823529412,604.737556561086,563,99
"Quercus_302",442,0,0,72,0.16289592760181,660.945701357466,624,98.8076923076923
"Quercus_303",442,0,0,65,0.147058823529412,708.212669683258,638.5,99
"Quercus_304",441,1,0.00226244343891403,72,0.16289592760181,616.441176470588,558.5,98.7760180995475
"Quercus_305",429,13,0.0294117647058824,76,0.171945701357466,395.733031674208,389,96.0384615384615
"Quercus_306",433,9,0.0203619909502262,80,0.180995475113122,377.027149321267,359,96.5678733031674
"Quercus_307",442,0,0,64,0.144796380090498,546.081447963801,520,98.9276018099548
"Quercus_308",440,2,0.00452488687782805,75,0.169683257918552,380.742081447964,364,98.4615384615385
"Quercus_309",442,0,0,75,0.169683257918552,483.339366515837,455,99
"Quercus_310",430,12,0.0271493212669683,61,0.138009049773756,629.156108597285,589,96.3122171945701
"Quercus_311",442,0,0,69,0.156108597285068,469.610859728507,446,98.8552036199095
"Quercus_312",441,1,0.00226244343891403,64,0.144796380090498,643.619909502262,583,98.7760180995475
"Quercus_313",442,0,0,73,0.165158371040724,595.497737556561,581,98.9819004524887
"Quercus_314",442,0,0,68,0.153846153846154,599.671945701357,565,99
"Quercus_315",433,9,0.0203619909502262,68,0.153846153846154,370.115384615385,350,96.7760180995475
"Quercus_316",432,10,0.0226244343891403,76,0.171945701357466,434.595022624434,379.5,96.0814479638009
"Quercus_317",442,0,0,75,0.169683257918552,606.119909502262,583,99
"Quercus_318",433,9,0.0203619909502262,75,0.169683257918552,511.391402714932,448,97.1244343891403
"Quercus_319",436,6,0.0135746606334842,75,0.169683257918552,450.101809954751,436.5,97.4004524886878
"Quercus_320",442,0,0,68,0.153846153846154,373.468325791855,362,99
"Quercus_321",442,0,0,69,0.156108597285068,849.807692307692,845,99
"Quercus_322",442,0,0,62,0.14027149321267,694.861990950226,662,99
"Quercus_323",441,1,0.00226244343891403,66,0.149321266968326,723.615384615385,648,98.7760180995475
"Quercus_324",438,4,0.00904977375565611,66,0.149321266968326,429.095022624434,408,97.8778280542986
"Quercus_325",439,3,0.00678733031674208,68,0.153846153846154,409.070135746606,378.5,98.3280542986425
"Quercus_326",416,26,0.0588235294117647,73,0.165158371040724,319.052036199095,314.5,92.8710407239819
"Quercus_327",441,1,0.00226244343891403,67,0.15158371040724,628.350678733032,601,98.6719457013575
"Quercus_328",442,0,0,76,0.171945701357466,517.619909502262,501,99
"Quercus_329",401,41,0.0927601809954751,78,0.176470588235294,287.522624434389,274,88.814479638009
"Quercus_378",440,2,0.00452488687782805,63,0.142533936651584,1043.95475113122,1062,98.552036199095
"Quercus_379",440,2,0.00452488687782805,57,0.1289592760181,1768.38235294118,1911,98.552036199095
"Quercus_381",439,3,0.00678733031674208,30,0.0678733031674208,914.509049773756,901,98.1470588235294
"Quercus_385",442,0,0,63,0.142533936651584,601.64479638009,585,98.7013574660633
"Quercus_386",442,0,0,60,0.135746606334842,1293.08597285068,1312,98.8914027149321
"Quercus_387",438,4,0.00904977375565611,25,0.0565610859728507,1036.77149321267,1074,97.9276018099548
"Quercus_388",439,3,0.00678733031674208,5,0.0113122171945701,2058.42081447964,2242,98.3891402714932
"Quercus_389",441,1,0.00226244343891403,60,0.135746606334842,1300.8257918552,1207,98.7760180995475
